S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
204,Somewhat difficult,26-50%,5,Starcraft 2,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Unemployed / between jobs,High school diploma (or equivalent),UK,UK
205,Not difficult at all,1-25%,3,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,25,Student at college / university,Bachelor (or equivalent),Australia,Australia
206,Somewhat difficult,26-50%,4,League of Legends,PC,10,I play for fun,improving,Male,20,Student at college / university,Master (or equivalent),Spain,Spain
207,Not difficult at all,1-25%,5,Starcraft 2,PC,5,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,19,Student at college / university,High school diploma (or equivalent),Saudi Arabia,Saudi Arabia
208,Somewhat difficult,26-50%,3,League of Legends,PC,15,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,USA
209,Not difficult at all,1-25%,6,Other,"Console (PS, Xbox, ...)",16,I play for fun,having fun,Male,27,Employed,High school diploma (or equivalent),USA,USA
210,Not difficult at all,1-25%,3,League of Legends,PC,30,I play for fun,improving,Male,26,Employed,High school diploma (or equivalent),Germany,Germany
211,Somewhat difficult,26-50%,3,League of Legends,PC,5,I play for fun,having fun,Male,18,Student at school,None,Germany,Germany
212,Not difficult at all,1-25%,6,League of Legends,PC,7,I play for fun,having fun,Male,23,Employed,Bachelor (or equivalent),USA,USA
213,Not difficult at all,1-25%,4,League of Legends,PC,14,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Slovakia,Slovakia
214,Not difficult at all,1-25%,4,Hearthstone,PC,50,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,22,Student at college / university,High school diploma (or equivalent),Austria,Germany
215,Not difficult at all,1-25%,2,League of Legends,PC,30,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
216,Extremely difficult,76-100%,4,League of Legends,PC,20,I play for fun,improving,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Czech Republic,Czech Republic
217,Somewhat difficult,26-50%,2,League of Legends,PC,15,I play for fun,relaxing,Male,24,Employed,High school diploma (or equivalent),Denmark,Denmark
218,Not difficult at all,1-25%,3,League of Legends,PC,25,I play for fun,winning,Male,20,Employed,None,UK,UK
219,Somewhat difficult,26-50%,7,Starcraft 2,PC,10,I play for fun,improving,Male,30,Employed,Master (or equivalent),USA,USA
220,Somewhat difficult,26-50%,3,League of Legends,PC,2,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Belgium,Belgium
222,Somewhat difficult,26-50%,6,League of Legends,PC,30,I play for fun,improving,Male,20,Student at school,High school diploma (or equivalent),Austria,Austria
223,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,relaxing,Male,18,Student at school,Bachelor (or equivalent),Bulgaria,Bulgaria
224,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,improving,Male,29,Employed,Bachelor (or equivalent),USA,USA
225,Somewhat difficult,26-50%,4,League of Legends,PC,30,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Austria,Austria
226,Somewhat difficult,26-50%,2,Other,PC,35,I play for fun,having fun,Male,23,Employed,Master (or equivalent),France,France
227,Not difficult at all,1-25%,5,Other,PC,24,I play for fun,winning,Female,25,Student at school,High school diploma (or equivalent),USA,USA
228,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,improving,Male,23,Student at school,"Ph.D., Psy. D., MD (or equivalent)",USA,USA
229,Not difficult at all,1-25%,3,League of Legends,PC,25,for fun and improvement,improving,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Germany
230,Very difficult,51-75%,1,Diablo 3,PC,50,I play for fun,passing the time,Female,21,Unemployed / between jobs,High school diploma (or equivalent),UK,UK
231,Somewhat difficult,26-50%,2,League of Legends,PC,14,I play for fun,improving,Male,18,Student at school,None,Denmark,Denmark
234,Not difficult at all,1-25%,3,Starcraft 2,PC,12,I play for fun,having fun,Male,18,Student at school,None,USA,USA
235,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,having fun,Female,29,Employed,Bachelor (or equivalent),Canada,Canada
236,Somewhat difficult,26-50%,6,League of Legends,PC,16,I play for fun,having fun,Male,24,Employed,Master (or equivalent),France,France
237,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,improving,Male,20,Student at college / university,Bachelor (or equivalent),Georgia,Germany
238,Somewhat difficult,26-50%,7,League of Legends,PC,16,I play for fun,improving,Male,23,Employed,Bachelor (or equivalent),USA,USA
239,Somewhat difficult,26-50%,6,Starcraft 2,PC,20,I play for fun,improving,Male,25,Student at college / university,Master (or equivalent),Germany,Germany
240,Not difficult at all,1-25%,3,League of Legends,PC,28,I play for fun,improving,Male,19,Student at school,High school diploma (or equivalent),Germany,Germany
241,Somewhat difficult,26-50%,4,League of Legends,PC,10,I play for fun,having fun,Male,30,Employed,Master (or equivalent),China,Canada
242,Not difficult at all,1-25%,6,League of Legends,PC,20,I play for fun,having fun,Male,20,Student at school,High school diploma (or equivalent),Belgium,Belgium
243,Somewhat difficult,26-50%,5,Starcraft 2,PC,15,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Sweden,Sweden
244,Somewhat difficult,26-50%,4,League of Legends,PC,25,I play for fun,having fun,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Germany,Germany
245,Somewhat difficult,26-50%,2,League of Legends,PC,35,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Germany
246,Not difficult at all,1-25%,3,League of Legends,PC,27,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Germany
247,Somewhat difficult,26-50%,5,League of Legends,PC,15,I play for fun,having fun,Male,22,Student at college / university,Master (or equivalent),France,France
248,Somewhat difficult,26-50%,5,League of Legends,PC,15,I play for fun,relaxing,Male,18,Student at school,None,USA,USA
249,Somewhat difficult,26-50%,5,League of Legends,PC,4,I play for fun,improving,Male,23,Student at college / university,Bachelor (or equivalent),Portugal,Portugal
250,Not difficult at all,1-25%,2,League of Legends,PC,35,I play for fun,improving,Male,18,Student at school,None,Canada,Canada
251,Not difficult at all,1-25%,5,League of Legends,PC,10,I play for fun,improving,Male,28,Employed,Bachelor (or equivalent),Sweden,Sweden
252,Not difficult at all,1-25%,2,League of Legends,PC,10,I play for fun,improving,Female,26,Employed,Bachelor (or equivalent),USA,USA
253,Not difficult at all,1-25%,2,League of Legends,PC,35,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Bosnia and Herzegovina,Bosnia and Herzegovina
254,Not difficult at all,1-25%,5,Other,PC,5,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),South Africa,Germany
255,Not difficult at all,1-25%,5,League of Legends,PC,6,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Italy,Italy
256,Somewhat difficult,26-50%,2,League of Legends,PC,10,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Australia
257,Not difficult at all,1-25%,6,League of Legends,PC,6,I play for fun,having fun,Male,23,Employed,Bachelor (or equivalent),USA,USA
258,Not difficult at all,1-25%,5,League of Legends,PC,35,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Slovenia,Slovenia
259,Somewhat difficult,26-50%,1,League of Legends,PC,28,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),USA,USA
260,Not difficult at all,1-25%,1,League of Legends,PC,15,I play for fun,having fun,Female,19,Student at college / university,High school diploma (or equivalent),Australia,Australia
261,Not difficult at all,1-25%,5,League of Legends,PC,35,I play for fun,improving,Male,25,Employed,Master (or equivalent),Sweden,Sweden
262,Not difficult at all,1-25%,1,League of Legends,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,29,Unemployed / between jobs,Bachelor (or equivalent),Sweden,Sweden
263,Somewhat difficult,26-50%,1,League of Legends,PC,25,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Greece,Greece
264,Not difficult at all,1-25%,1,League of Legends,PC,30,I play for fun,having fun,Male,25,Student at college / university,Bachelor (or equivalent),Argentina,Argentina
265,Somewhat difficult,26-50%,2,Hearthstone,PC,20,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
266,Not difficult at all,1-25%,1,League of Legends,PC,16,I play for fun,winning,Male,21,Student at college / university,Bachelor (or equivalent),Jordan,Jordan
267,Not difficult at all,1-25%,3,League of Legends,PC,9,I play for fun,having fun,Male,22,Employed,Bachelor (or equivalent),France,France
268,Very difficult,51-75%,2,League of Legends,PC,21,I play for fun,improving,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Brazil,Brazil
269,Very difficult,51-75%,3,League of Legends,PC,40,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Venezuela,Venezuela
270,Not difficult at all,1-25%,1,League of Legends,PC,15,I play for fun,improving,Male,25,Student at college / university,Bachelor (or equivalent),Brazil,Brazil
271,Somewhat difficult,26-50%,6,Skyrim,"Console (PS, Xbox, ...)",5,I play for fun,having fun,Female,18,Student at school,None,USA,USA
272,Somewhat difficult,26-50%,7,Starcraft 2,PC,15,I play for fun,improving,Male,24,Employed,Bachelor (or equivalent),USA,USA
273,Not difficult at all,1-25%,1,League of Legends,PC,21,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,24,Employed,Bachelor (or equivalent),Austria,Austria
274,Somewhat difficult,26-50%,5,Hearthstone,Smartphone / Tablet,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,20,Employed,High school diploma (or equivalent),Australia,Australia
275,Not difficult at all,1-25%,4,Starcraft 2,PC,3,I play for fun,winning,Male,23,Employed,High school diploma (or equivalent),Belgium,Belgium
276,Somewhat difficult,26-50%,1,Starcraft 2,PC,6,I play for fun,relaxing,Male,19,Student at college / university,Bachelor (or equivalent),UK,UK
277,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
278,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
279,Somewhat difficult,26-50%,3,Other,"Console (PS, Xbox, ...)",40,I play for fun,relaxing,Female,24,Student at college / university,Master (or equivalent),Netherlands,Netherlands
280,Not difficult at all,1-25%,7,League of Legends,PC,18,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),Tunisia,Tunisia
281,Not difficult at all,1-25%,1,League of Legends,PC,35,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun and improving,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
282,Not difficult at all,1-25%,4,League of Legends,PC,15,"i play for fun atm, but i pretend to earn a little by streaming.",improving,Male,25,Student at college / university,Bachelor (or equivalent),Brazil,Brazil
283,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
284,Somewhat difficult,26-50%,2,Other,PC,20,I play for fun,relaxing,Male,26,Student at college / university,High school diploma (or equivalent),Poland,Poland
285,Not difficult at all,1-25%,6,League of Legends,PC,18,I play for fun,improving,Male,23,Employed,High school diploma (or equivalent),USA,USA
287,Somewhat difficult,26-50%,4,League of Legends,PC,15,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,20,Student at college / university,High school diploma (or equivalent),Switzerland,Switzerland
288,Not difficult at all,1-25%,5,League of Legends,PC,20,I play for fun,winning,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Israel,Israel
289,Not difficult at all,1-25%,5,League of Legends,PC,7,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),UK,UK
290,Not difficult at all,1-25%,2,League of Legends,PC,15,I play for fun,having fun,Male,31,Employed,Bachelor (or equivalent),Hong Kong,Canada
291,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Netherlands,Netherlands
292,Not difficult at all,1-25%,1,Starcraft 2,PC,28,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,20,Student at college / university,High school diploma (or equivalent),Czech Republic,Czech Republic
293,Very difficult,51-75%,1,Starcraft 2,PC,2,I play for fun,winning,Male,25,Student at college / university,High school diploma (or equivalent),Canada,Canada
